Município;IMEI1;IMEI2;Marca;Modelo;Capacidade;Entrega;Local de Uso;Situação; Patrimonio
Abatiá;810164000000000;382816000000000;Apple;iPhone 13;128GB;Abatiá;Escola do município Abatiá;Em uso;1
Abatiá;463418000000000;882385000000000;Apple;iPhone 15 Pro;256GB;Abatiá;Escola do município Abatiá;Roubado;2
Abatiá;509783000000000;249995000000000;Multilaser;G Max 2;64GB;Abatiá;Escola do município Abatiá;Roubado;3
Abatiá;933842000000000;884937000000000;Xiaomi;Redmi Note 12;128GB;Abatiá;Escola do município Abatiá;Em uso;4
Abatiá;493129000000000;535006000000000;Xiaomi;Poco X5;256GB;Abatiá;Escola do município Abatiá;Inservível;5
Abatiá;210842000000000;266769000000000;Samsung;Galaxy S23;256GB;Abatiá;Escola do município Abatiá;Inservível;6
Abatiá;795128000000000;270640000000000;Samsung;Galaxy S23;256GB;Abatiá;Escola do município Abatiá;Danificado;7
Abatiá;352255000000000;837261000000000;Samsung;Galaxy A14;128GB;Abatiá;Escola do município Abatiá;Danificado;8
Abatiá;433797000000000;904672000000000;Samsung;Galaxy A14;128GB;Abatiá;Escola do município Abatiá;Em uso;9
Abatiá;831643000000000;716458000000000;Xiaomi;Poco X5;256GB;Abatiá;Escola do município Abatiá;Inservível;10
Abatiá;147400000000000;405282000000000;Apple;iPhone 15 Pro;256GB;Abatiá;Escola do município Abatiá;Em uso;11
Abatiá;770618000000000;412677000000000;Apple;iPhone 13;128GB;Abatiá;Escola do município Abatiá;Inservível;12
Abatiá;707459000000000;379620000000000;Motorola;Edge 40;256GB;Abatiá;Escola do município Abatiá;Danificado;13
Abatiá;523390000000000;172468000000000;Apple;iPhone 13;128GB;Abatiá;Escola do município Abatiá;Danificado;14
Abatiá;471474000000000;831256000000000;Motorola;Edge 40;256GB;Abatiá;Escola do município Abatiá;Em uso;15
Abatiá;983353000000000;974399000000000;Xiaomi;Poco X5;256GB;Abatiá;Escola do município Abatiá;Em uso;16
Abatiá;508943000000000;828177000000000;Apple;iPhone 13;128GB;Abatiá;Escola do município Abatiá;Inservível;17
Abatiá;166650000000000;612626000000000;Motorola;Edge 40;256GB;Abatiá;Escola do município Abatiá;Roubado;18
Abatiá;333005000000000;863779000000000;Motorola;Edge 40;256GB;Abatiá;Escola do município Abatiá;Inservível;19
Abatiá;184385000000000;864761000000000;Philco;Hit P10;128GB;Abatiá;Escola do município Abatiá;Inservível;20
Abatiá;627930000000000;676884000000000;Apple;iPhone 13;128GB;Abatiá;Escola do município Abatiá;Em uso;21
Abatiá;673619000000000;259769000000000;Multilaser;G Max 2;64GB;Abatiá;Escola do município Abatiá;Roubado;22
Abatiá;829992000000000;496254000000000;Apple;iPhone 15 Pro;256GB;Abatiá;Escola do município Abatiá;Inservível;23
Abatiá;543540000000000;143937000000000;Motorola;Edge 40;256GB;Abatiá;Escola do município Abatiá;Roubado;24
Abatiá;845611000000000;216803000000000;Apple;iPhone 15 Pro;256GB;Abatiá;Escola do município Abatiá;Em uso;25
Abatiá;896818000000000;977738000000000;Samsung;Galaxy S23;256GB;Abatiá;Escola do município Abatiá;Inservível;26
Abatiá;214508000000000;952234000000000;Multilaser;G Max 2;64GB;Abatiá;Escola do município Abatiá;Roubado;27
Abatiá;144974000000000;143226000000000;Motorola;Edge 40;256GB;Abatiá;Escola do município Abatiá;Inservível;28
Abatiá;291686000000000;113946000000000;Apple;iPhone 13;128GB;Abatiá;Escola do município Abatiá;Inservível;29
Abatiá;985607000000000;436050000000000;Philco;Hit P10;128GB;Abatiá;Escola do município Abatiá;Danificado;30
Adrianópolis;946704000000000;240050000000000;Apple;iPhone 15 Pro;256GB;Adrianópolis;Escola do município Adrianópolis;Roubado;31
Adrianópolis;188711000000000;991593000000000;Motorola;Edge 40;256GB;Adrianópolis;Escola do município Adrianópolis;Inservível;32
Adrianópolis;529465000000000;416013000000000;Apple;iPhone 15 Pro;256GB;Adrianópolis;Escola do município Adrianópolis;Roubado;33
Adrianópolis;496495000000000;385191000000000;Motorola;Edge 40;256GB;Adrianópolis;Escola do município Adrianópolis;Em uso;34
Adrianópolis;341407000000000;204148000000000;Motorola;Moto G53;128GB;Adrianópolis;Escola do município Adrianópolis;Inservível;35
Adrianópolis;381033000000000;145985000000000;Multilaser;G Max 2;64GB;Adrianópolis;Escola do município Adrianópolis;Danificado;36
Adrianópolis;482646000000000;950566000000000;Xiaomi;Poco X5;256GB;Adrianópolis;Escola do município Adrianópolis;Danificado;37
Adrianópolis;318448000000000;600865000000000;Motorola;Moto G53;128GB;Adrianópolis;Escola do município Adrianópolis;Inservível;38
Adrianópolis;548845000000000;741873000000000;Samsung;Galaxy A14;128GB;Adrianópolis;Escola do município Adrianópolis;Roubado;39
Adrianópolis;637240000000000;189711000000000;Samsung;Galaxy A14;128GB;Adrianópolis;Escola do município Adrianópolis;Inservível;40
Adrianópolis;930175000000000;709910000000000;Motorola;Edge 40;256GB;Adrianópolis;Escola do município Adrianópolis;Em uso;41
Adrianópolis;385231000000000;571803000000000;Apple;iPhone 15 Pro;256GB;Adrianópolis;Escola do município Adrianópolis;Em uso;42
Adrianópolis;409641000000000;497211000000000;Motorola;Moto G53;128GB;Adrianópolis;Escola do município Adrianópolis;Em uso;43
Adrianópolis;186076000000000;858843000000000;Motorola;Edge 40;256GB;Adrianópolis;Escola do município Adrianópolis;Danificado;44
Adrianópolis;792631000000000;342224000000000;Xiaomi;Redmi Note 12;128GB;Adrianópolis;Escola do município Adrianópolis;Em uso;45
Adrianópolis;102308000000000;641405000000000;Multilaser;G Max 2;64GB;Adrianópolis;Escola do município Adrianópolis;Roubado;46
